,Keyword,Campaign ID,Campaign,Ad Group ID,Ad Group,Impressions,Clicks,Conversions,Spend,CTR,Avg CPC,Conv Rate,CPA,Health Score,Status,Category,Recommended Action,Priority,Total Spend,Total Conversions,Total Clicks,Last Updated
181,curandero en,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,224,28,10,389395.91,12.5,13907,35.71,38939.59,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808946+00:00
182,curandero en,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,224,28,10,389395.91,12.5,13907,35.71,38939.59,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679546+00:00
0,Curanderos chamanes,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,131,15,7,257258.79,11.45,17150.59,46.67,36751.26,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808804+00:00
1,Curanderos chamanes,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,131,15,7,257258.79,11.45,17150.59,46.67,36751.26,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679349+00:00
311,santeros,12039330140,MAESTROS CAVIEDES vieja,125928945007,Santeros,331,19,7,243962.63,5.74,12840.14,36.84,34851.8,,,,,,,,,
4,Curanderos espirituales,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,129,21,6,307306.67,16.28,14633.65,28.57,51217.78,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T23:10:05.808808+00:00
5,Curanderos espirituales,12039330140,MAESTROS CAVIEDES vieja,114885404101,curandero,129,21,6,307306.67,16.28,14633.65,28.57,51217.78,0,Critical,critical,decrease_bid,1,0,0,0,2025-10-10T18:47:07.679356+00:00
154,chamanes y curanderos,23009021436,Pagina 5 - Ruben,183136454137,curanderos,100,15,6,111886.8,15,7459.12,40,18647.8,,,,,,,,,
120,brujos consulta gratis,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,252,23,5,209346.07,9.13,9102,21.74,41869.21,,,,,,,,,
185,curanderos,23009021436,Pagina 5 - Ruben,183136455337,Grupo de anuncios 1,379,28,5,260355.62,7.39,9298.41,17.86,52071.12,,,,,,,,,
231,la brujeria,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,266,15,5,122886,5.64,8192.4,33.33,24577.2,,,,,,,,,
236,limpia de brujeria,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,489,36,5,414532.18,7.36,11514.78,13.89,82906.44,,,,,,,,,
263,personas que hacen brujeria,12039330140,MAESTROS CAVIEDES vieja,125928377167,Magia Negra,108,8,5,162579,7.41,20322.38,62.5,32515.8,,,,,,,,,
64,brujas y brujos,12039330140,MAESTROS CAVIEDES vieja,120977695191,amarres de amor,218,19,4,318617.81,8.72,16769.36,21.05,79654.45,,,,,,,,,
